station_name,station_code,capacity,grid_connection_date,raw_keys
Homeupdate,NE=139529449,81.0,2022-11-17T13:05:32+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Americo Duarte Paixão,NE=140792960,50.16,2023-11-21T16:18:12+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
APPACDM da Maia,NE=140537234,29.975,2023-08-29T17:21:01+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Pinhão e Irmão,NE=138976232,127.56,2022-07-20T15:30:40+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Vatel,NE=142110133,129.6,2022-06-28T18:17:59+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Agrovacuo Armazém,NE=140840071,13.2,2023-12-06T08:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
S.C.M. Entroncamento - Lar,NE=140271503,115.0,2023-06-19T10:00:45+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Lusobatata,NE=139031244,47.25,2021-02-08T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Marmores da Granja,NE=139005643,138.598,2020-11-29T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Restaurante O Zé Pacheco,NE=141598898,29.625,2021-11-06T15:35:29+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Granetos,NE=141192121,163.8,2021-07-19T13:29:24+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Queijaria Inácio Corvelo,NE=140410529,42.66,2021-05-28T08:24:01+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
O Casarão,NE=140531378,110.0,2023-08-28T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Heden,NE=141855385,18.0,2022-01-21T17:03:40+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Agriloja Tomar,NE=141933202,18.02,2022-03-04T11:12:53+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Granitos Galrão Norte,NE=139084479,307.8,2022-08-11T10:29:58+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Jetesetecar,NE=138851505,153.45,2022-06-30T14:27:04+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Lar ASESM,NE=140291015,19.25,2023-06-21T17:00:24+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Ferraz Ferreira,NE=142046441,144.16,2022-05-18T19:13:26+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
APPACDM - Lar das Pedralvas,NE=140164288,,2023-05-19T09:29:24+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
CascavelSecar,NE=140779197,500.0,2023-11-16T16:48:49+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Encontrus,NE=139950545,67.58,2023-03-21T14:31:45+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Diaco - Fábrica 1,NE=141979888,256.8,2022-03-09T16:30:22+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Cercilei - Leiria,NE=140213209,50.47,2023-06-01T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Cercilei - Porto de Mós,NE=139993546,29.89,2023-03-31T09:34:43+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Marmo J,NE=139507103,117.255,2021-03-10T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
CSPSA de Lavre,NE=140573900,33.44,2023-09-20T10:43:42+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Licofrutos,NE=139459995,72.0,2022-10-26T15:29:08+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
ELS Sede,NE=141841348,556.96,2021-12-23T17:47:24+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Ardavi,NE=141882306,72.76,2022-02-01T10:39:08+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Itecmo,NE=139772905,101.25,2023-01-25T10:37:05+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Vidraria Central do Porto,NE=141213422,36.4,2021-07-27T19:37:34+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Mármores Galrão,NE=139899106,431.64,2023-03-06T16:22:57+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Herdade Fonte Paredes,NE=140655864,59.84,2023-10-04T13:34:55+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Sicobrita (PT2),NE=142066627,410.4,2022-05-31T12:45:19+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Amadois,NE=139981294,64.8,2021-04-30T10:19:29+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Sicobrita (PT1),NE=142039761,410.4,2022-05-13T16:04:26+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
ASCRECC - Lar da Cumieira,NE=140045036,47.66,2023-04-17T15:58:56+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
S.C.M. Alpedrinha,NE=139823084,40.67,2023-02-10T14:26:15+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Bombeiros Arruda dos Vinhos,NE=139621618,,2022-12-12T13:18:28+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Moviportas Casa,NE=139137403,8.1,2022-08-23T16:50:45+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Agrovácuo,NE=139495807,43.2,2022-11-11T15:28:57+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Fundação Irene Rolo,NE=140648933,29.975,2023-10-02T17:19:51+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Pontual,NE=140716516,78.1,2023-10-23T19:55:33+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Textil do Marco,NE=141927122,129.6,2022-02-25T15:10:30+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Roufimar,NE=139484793,187.625,2021-03-13T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Diaco - Fábrica 2,NE=140328968,309.6,2023-06-26T17:16:43+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
ELS Guia,NE=139150447,250.09,2022-08-25T18:06:37+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Maryasa 2,NE=140105470,43.2,2023-05-04T12:16:41+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
